movie_title;release_month;release_year;genre;total_gross;inflation_adjusted_gross
Breakfast of Champions;September;1999;Comedy;178287;295851
Endurance;May;1999;;229128;380218
Tarzan;June;1999;Adventure;171091819;283900254
Summer of Sam;July;1999;Drama;19288130;32007656
Doug's 1st Movie;March;1999;Adventure;19421271;32228598
Cradle Will Rock;December;1999;Drama;2899970;4609153
Toy Story 2;November;1999;Adventure;245852179;404450426
The Other Sister;February;1999;Romantic Comedy;27807627;46145331
The Insider;November;1999;Drama;28965197;47794214
The Sixth Sense;August;1999;Thriller/Suspense;293506292;485424724
The 13th Warrior;August;1999;Action;32698899;54262148
Instinct;June;1999;Drama;34105207;56595842
My Favorite Martian;February;1999;Comedy;36850101;61150849
Ten Things I Hate About You;March;1999;Romantic Comedy;38177966;63354375
Mumford;September;1999;Comedy;4559569;7566363
Bicentennial Man;December;1999;Drama;58220776;94838225
The Straight Story;October;1999;Drama;6197866;10111144
Deuce Bigalow: Male Gigolo;December;1999;Comedy;65535067;106921374
Play it to the Bone;December;1999;Comedy;8427204;13180524
Mystery Alaska;October;1999;Comedy;8891623;14755189
Inspector Gadget;July;1999;Comedy;97387965;161610341
Gun Shy;February;2000;Comedy;1638202;2562155
Gone in 60 Seconds;June;2000;Action;101643008;158970411
Remember the Titans;September;2000;Drama;115654751;180742479
The Crew;August;2000;Comedy;13019253;20362201
Dinosaur;May;2000;Adventure;137748063;215438985
High Fidelity;March;2000;Comedy;27277055;42661516
Keeping the Faith;April;2000;Romantic Comedy;37036404;57925202
Duets;September;2000;Drama;4734235;7404372
O Brother Where Art Thou?;December;2000;Comedy;45506619;67922002
The Tigger Movie;February;2000;Adventure;45542421;71228678
Shanghai Noon;May;2000;Western;56932305;89042541
Fantasia 2000 (IMAX);January ;2000;Musical;60507228;94852354
Coyote Ugly;August;2000;Drama;60786269;95070168
Mission to Mars;March;2000;Adventure;60874615;95208344
102 Dalmatians;November;2000;Comedy;66941559;104055039
The Kid;July;2000;Comedy;69688384;108993148
The Emperor's New Groove;December;2000;Adventure;89296573;136789252
Fantasia 2000 (Theatrical Release);June;2000;Musical;9103630;14238144
Unbreakable;November;2000;Thriller/Suspense;94999143;148208901
High Heels and Low Lifes;October;2001;;226792;337782
The Princess Diaries;August;2001;Comedy;108244774;161218928
Out Cold;November;2001;Comedy;13906394;20700691
crazy/beautiful;June;2001;Drama;16929123;25214223
Max Keeble's Big Move;October;2001;Comedy;17292381;25749730
Pearl Harbor;May;2001;Action;198539855;295705112
Corky Romano;October;2001;Comedy;23978402;35705805
Monsters Inc.;November;2001;Adventure;289423425;416073179
Double Take;January ;2001;Action;29823162;44418589
Recess: School's Out;February;2001;Comedy;36696761;54656124
Just Visiting;April;2001;Comedy;4777007;7114869
Bubble Boy;August;2001;Comedy;5002310;7450434
The Royal Tenenbaums;December;2001;Black Comedy;52353636;76758193
Atlantis: The Lost Empire;June;2001;Adventure;84052762;125188122
Frank McKlusky C.I.;January ;2002;;;
Sen to Chihiro no Kamikakushi;September;2002;Adventure;10049886;14338992
Sorority Boys;March;2002;Comedy;10198766;14797862
Sweet Home Alabama;September;2002;Comedy;127214072;184521151
25th Hour;December;2002;Drama;13084595;18325463
The Santa Clause 2;November;2002;Comedy;139225854;201959095
